风机名,状态码,状态码描述,激活时间,复位时间
20,70062,发电机注油泵油位报警, 2021-05-15 01:06:32:583, 2021-05-15 01:23:25:643
20,70062,发电机注油泵油位报警, 2021-05-15 00:57:06:528, 2021-05-15 00:58:13:588
20,70062,发电机注油泵油位报警, 2021-05-15 00:32:10:832, 2021-05-15 00:48:24:248
20,70062,发电机注油泵油位报警, 2021-05-14 20:58:09:469, 2021-05-14 20:58:09:809
20,70062,发电机注油泵油位报警, 2021-05-14 19:52:23:348, 2021-05-14 19:57:27:243
20,300908,桨叶齿轮润滑油位低, 2021-05-14 06:37:10:421, 2021-05-17 11:06:00:181
20,300907,桨叶轴承润滑油位低, 2021-05-14 06:37:10:421, 2021-05-17 11:06:00:181
20,300691,桨叶轴承润滑出错, 2021-05-14 06:36:11:901, 2021-05-14 06:36:11:921
20,70062,发电机注油泵油位报警, 2021-05-14 06:31:14:745, 2021-05-14 19:46:01:608
20,300691,桨叶轴承润滑出错, 2021-05-14 06:31:04:005, 2021-05-14 06:31:04:025
20,300691,桨叶轴承润滑出错, 2021-05-14 06:30:03:965, 2021-05-14 06:30:03:985
20,290050,主轴承润滑油油位低, 2021-05-14 06:27:20:405, 2021-05-17 11:06:00:181
20,10011,机舱振动报警, 2021-05-14 06:16:05:985, 2021-05-14 06:27:10:385
20,70062,发电机注油泵油位报警, 2021-05-14 01:57:29:587, 2021-05-14 06:16:06:005
20,70062,发电机注油泵油位报警, 2021-05-14 01:44:48:127, 2021-05-14 01:52:03:707
20,70062,发电机注油泵油位报警, 2021-05-14 00:45:14:476, 2021-05-14 01:38:43:027
20,70062,发电机注油泵油位报警, 2021-05-13 23:26:47:150, 2021-05-14 00:02:48:121
20,300908,桨叶齿轮润滑油位低, 2021-05-13 23:15:25:990, 2021-05-14 06:27:10:385
20,300907,桨叶轴承润滑油位低, 2021-05-13 23:15:25:990, 2021-05-14 06:27:10:385
20,70062,发电机注油泵油位报警, 2021-05-13 23:10:02:930, 2021-05-13 23:14:41:710
20,300691,桨叶轴承润滑出错, 2021-05-13 23:08:32:870, 2021-05-13 23:08:32:890
20,290050,主轴承润滑油油位低, 2021-05-13 23:05:35:990, 2021-05-14 06:27:10:385
20,10011,机舱振动报警, 2021-05-13 23:05:08:010, 2021-05-13 23:05:25:970
20,70062,发电机注油泵油位报警, 2021-05-13 19:21:26:509, 2021-05-13 23:05:08:030
20,70062,发电机注油泵油位报警, 2021-05-13 18:54:15:173, 2021-05-13 19:14:35:569
20,70062,发电机注油泵油位报警, 2021-05-13 18:09:55:121, 2021-05-13 18:28:48:677
20,70062,发电机注油泵油位报警, 2021-05-13 16:53:58:909, 2021-05-13 16:54:35:689
20,70062,发电机注油泵油位报警, 2021-05-13 16:18:44:113, 2021-05-13 16:18:53:013
20,70062,发电机注油泵油位报警, 2021-05-13 15:35:17:026, 2021-05-13 15:53:58:222
20,70062,发电机注油泵油位报警, 2021-05-13 07:03:33:596, 2021-05-13 15:28:52:226
20,70062,发电机注油泵油位报警, 2021-05-13 06:09:24:326, 2021-05-13 06:14:31:206
20,70062,发电机注油泵油位报警, 2021-05-13 04:57:15:929, 2021-05-13 05:28:03:861
20,300908,桨叶齿轮润滑油位低, 2021-05-13 02:35:21:541, 2021-05-13 23:05:25:970
20,300907,桨叶轴承润滑油位低, 2021-05-13 02:35:21:541, 2021-05-13 23:05:25:970
20,300691,桨叶轴承润滑出错, 2021-05-13 02:34:33:781, 2021-05-13 02:34:33:801
20,300691,桨叶轴承润滑出错, 2021-05-13 02:32:37:147, 2021-05-13 02:32:37:167
20,300691,桨叶轴承润滑出错, 2021-05-13 02:31:37:107, 2021-05-13 02:31:37:127
20,70062,发电机注油泵油位报警, 2021-05-13 02:29:23:127, 2021-05-13 03:55:08:883
20,300691,桨叶轴承润滑出错, 2021-05-13 02:29:18:247, 2021-05-13 02:29:18:267
20,300691,桨叶轴承润滑出错, 2021-05-13 02:28:18:207, 2021-05-13 02:28:18:227
20,290050,主轴承润滑油油位低, 2021-05-13 02:25:31:527, 2021-05-13 23:05:25:970
20,10011,机舱振动报警, 2021-05-13 02:24:12:947, 2021-05-13 02:25:21:507
20,70062,发电机注油泵油位报警, 2021-05-12 12:37:24:329, 2021-05-13 02:24:12:967
20,70062,发电机注油泵油位报警, 2021-05-12 04:34:40:647, 2021-05-12 06:08:40:752
20,70062,发电机注油泵油位报警, 2021-05-12 03:58:01:977, 2021-05-12 04:11:36:272
20,70062,发电机注油泵油位报警, 2021-05-12 01:19:04:880, 2021-05-12 03:37:53:977
20,70062,发电机注油泵油位报警, 2021-05-11 19:01:45:659, 2021-05-12 00:55:24:105
20,70062,发电机注油泵油位报警, 2021-05-11 18:16:22:883, 2021-05-11 18:28:15:763
20,70062,发电机注油泵油位报警, 2021-05-11 18:02:11:152, 2021-05-11 18:03:03:312
20,70062,发电机注油泵油位报警, 2021-05-11 15:47:25:516, 2021-05-11 15:50:32:916
20,70062,发电机注油泵油位报警, 2021-05-11 15:29:42:521, 2021-05-11 15:37:37:336
20,60004,自动解缆, 2021-05-11 14:23:44:168, 2021-05-11 14:38:42:864
20,70062,发电机注油泵油位报警, 2021-05-11 05:31:02:639, 2021-05-11 05:35:41:539
20,300908,桨叶齿轮润滑油位低, 2021-05-10 22:29:01:571, 2021-05-13 02:25:21:507
20,300907,桨叶轴承润滑油位低, 2021-05-10 22:29:01:571, 2021-05-13 02:25:21:507
20,300691,桨叶轴承润滑出错, 2021-05-10 22:28:32:431, 2021-05-10 22:28:32:451
20,300691,桨叶轴承润滑出错, 2021-05-10 22:24:52:711, 2021-05-10 22:24:52:731
20,300691,桨叶轴承润滑出错, 2021-05-10 22:23:52:671, 2021-05-10 22:23:52:691
20,70062,发电机注油泵油位报警, 2021-05-10 22:23:05:391, 2021-05-11 02:40:01:023
20,300691,桨叶轴承润滑出错, 2021-05-10 22:22:52:631, 2021-05-10 22:22:52:651
20,300691,桨叶轴承润滑出错, 2021-05-10 22:21:52:591, 2021-05-10 22:21:52:611
20,290050,主轴承润滑油油位低, 2021-05-10 22:19:11:571, 2021-05-13 02:25:21:507
20,10011,机舱振动报警, 2021-05-10 22:07:43:531, 2021-05-10 22:19:01:551
20,70062,发电机注油泵油位报警, 2021-05-10 20:52:43:378, 2021-05-10 22:07:43:551
20,70062,发电机注油泵油位报警, 2021-05-10 14:06:35:736, 2021-05-10 20:48:09:818
20,70062,发电机注油泵油位报警, 2021-05-10 13:29:40:010, 2021-05-10 13:36:36:450
20,70062,发电机注油泵油位报警, 2021-05-10 12:28:44:777, 2021-05-10 13:20:34:990
20,70062,发电机注油泵油位报警, 2021-05-10 09:49:32:545, 2021-05-10 11:57:41:441
20,70062,发电机注油泵油位报警, 2021-05-10 04:19:38:578, 2021-05-10 06:31:14:522
20,70062,发电机注油泵油位报警, 2021-05-09 15:24:45:490, 2021-05-10 02:46:17:470
20,70062,发电机注油泵油位报警, 2021-05-09 04:08:02:288, 2021-05-09 05:27:54:392
20,70062,发电机注油泵油位报警, 2021-05-09 00:56:09:665, 2021-05-09 03:49:44:337
20,70062,发电机注油泵油位报警, 2021-05-08 19:34:47:817, 2021-05-08 23:52:07:007
20,70062,发电机注油泵油位报警, 2021-05-08 15:18:51:705, 2021-05-08 15:28:17:220
20,70062,发电机注油泵油位报警, 2021-05-08 14:59:20:885, 2021-05-08 15:03:05:965
20,70062,发电机注油泵油位报警, 2021-05-08 05:58:36:436, 2021-05-08 07:42:50:433
20,70062,发电机注油泵油位报警, 2021-05-08 02:13:07:083, 2021-05-08 03:41:27:347
20,70062,发电机注油泵油位报警, 2021-05-07 19:34:33:814, 2021-05-07 20:06:56:741
20,70062,发电机注油泵油位报警, 2021-05-07 16:32:53:961, 2021-05-07 16:50:35:281
20,70062,发电机注油泵油位报警, 2021-05-07 15:20:30:703, 2021-05-07 15:34:32:243
20,70062,发电机注油泵油位报警, 2021-05-07 14:45:07:996, 2021-05-07 15:03:27:292
20,60004,自动解缆, 2021-05-02 23:36:19:734, 2021-05-02 23:44:27:754
20,90012,SCADA限功率, 2021-05-02 19:46:24:300, 2021-05-02 19:47:24:100
20,90012,SCADA限功率, 2021-05-02 18:46:42:475, 2021-05-02 18:48:42:275
20,170102,暴风, 2021-05-02 09:44:16:061, 2021-05-02 09:57:13:881
20,170102,暴风, 2021-05-02 09:30:42:907, 2021-05-02 09:38:52:261
20,170102,暴风, 2021-05-02 09:25:09:467, 2021-05-02 09:30:42:707
20,170102,暴风, 2021-05-02 08:41:06:691, 2021-05-02 08:51:13:951
20,90012,SCADA限功率, 2021-05-02 08:38:00:291, 2021-05-02 08:38:18:171
20,300908,桨叶齿轮润滑油位低, 2021-05-02 08:34:25:691, 2021-05-10 22:19:01:551
20,300907,桨叶轴承润滑油位低, 2021-05-02 08:34:25:691, 2021-05-10 22:19:01:551
20,300691,桨叶轴承润滑出错, 2021-05-02 08:33:16:731, 2021-05-02 08:33:16:751
20,170102,暴风, 2021-05-02 08:25:21:176, 2021-05-02 08:30:25:616
20,290050,主轴承润滑油油位低, 2021-05-02 08:24:35:676, 2021-05-10 22:19:01:551
20,90012,SCADA限功率, 2021-05-02 08:24:25:676, 2021-05-02 08:37:42:131
20,170102,暴风, 2021-05-02 08:13:16:676, 2021-05-02 08:18:22:616
20,170102,暴风, 2021-05-02 07:56:25:422, 2021-05-02 08:01:50:562
20,170102,暴风, 2021-05-02 07:41:30:562, 2021-05-02 07:46:54:722
20,170102,暴风, 2021-05-02 07:34:46:202, 2021-05-02 07:40:10:922
20,170102,暴风, 2021-05-02 07:22:58:448, 2021-05-02 07:27:59:948
20,170102,暴风, 2021-05-02 07:10:13:928, 2021-05-02 07:22:43:688
20,170102,暴风, 2021-05-02 07:00:27:593, 2021-05-02 07:08:58:608
20,170102,暴风, 2021-05-02 06:49:19:573, 2021-05-02 06:54:32:713
20,910007,画面停止按钮激活, 2021-05-02 06:25:23:958, 2021-05-02 08:24:25:656
20,170102,暴风, 2021-05-02 06:24:35:358, 2021-05-02 06:34:37:313
20,250101,CPU占用率高(超过70%), 2021-05-02 06:14:01:418, 2021-05-02 08:24:25:656
20,170102,暴风, 2021-05-02 06:11:42:218, 2021-05-02 06:21:46:158
20,300907,桨叶轴承润滑油位低, 2021-05-02 06:08:25:218, 2021-05-02 08:24:25:656
20,300908,桨叶齿轮润滑油位低, 2021-05-02 06:08:25:218, 2021-05-02 08:24:25:656
20,170102,暴风, 2021-05-02 06:05:10:538, 2021-05-02 06:11:29:958
20,700003,风轮转速超速1, 2021-05-02 06:03:27:818, 2021-05-02 08:24:25:656
20,90012,SCADA限功率, 2021-05-02 06:02:36:282, 2021-05-02 08:24:25:656
20,300691,桨叶轴承润滑出错, 2021-05-02 06:02:15:602, 2021-05-02 06:02:15:622
20,300691,桨叶轴承润滑出错, 2021-05-02 06:01:15:562, 2021-05-02 06:01:15:582
20,290050,主轴承润滑油油位低, 2021-05-02 05:58:35:202, 2021-05-02 08:24:25:656
20,170102,暴风, 2021-05-02 05:51:39:642, 2021-05-02 05:58:25:182
20,170102,暴风, 2021-05-02 05:22:36:208, 2021-05-02 05:51:02:802
20,170102,暴风, 2021-05-02 05:07:41:168, 2021-05-02 05:16:32:068
20,170102,暴风, 2021-05-02 05:00:37:556, 2021-05-02 05:06:23:628
20,170102,暴风, 2021-05-02 04:49:09:016, 2021-05-02 04:58:09:336
20,170102,暴风, 2021-05-02 04:40:21:142, 2021-05-02 04:48:49:616
20,170102,暴风, 2021-05-02 03:31:10:556, 2021-05-02 04:40:14:662
20,170102,暴风, 2021-05-02 02:40:36:410, 2021-05-02 03:24:35:956
20,170102,暴风, 2021-05-02 02:34:30:970, 2021-05-02 02:39:42:390
20,170102,暴风, 2021-05-02 02:27:27:715, 2021-05-02 02:33:05:150
20,910007,画面停止按钮激活, 2021-05-02 02:27:16:435, 2021-05-02 05:58:25:182
20,250101,CPU占用率高(超过70%), 2021-05-02 02:22:31:295, 2021-05-02 05:58:25:182
20,170102,暴风, 2021-05-02 02:11:56:395, 2021-05-02 02:27:08:275
20,90012,SCADA限功率, 2021-04-27 16:55:12:163, 2021-04-27 17:14:36:254
20,300907,桨叶轴承润滑油位低, 2021-04-24 05:32:48:911, 2021-05-02 05:58:25:182
20,300908,桨叶齿轮润滑油位低, 2021-04-24 05:32:48:911, 2021-05-02 05:58:25:182
20,290050,主轴承润滑油油位低, 2021-04-24 05:22:58:911, 2021-05-02 05:58:25:182
20,60004,自动解缆, 2021-04-23 00:02:06:169, 2021-04-23 00:12:10:329
20,60004,自动解缆, 2021-04-21 22:51:20:599, 2021-04-21 22:59:07:919
20,60004,自动解缆, 2021-04-19 15:20:08:547, 2021-04-19 15:28:23:287
20,60004,自动解缆, 2021-04-18 01:02:05:878, 2021-04-18 01:10:43:753
20,90012,SCADA限功率, 2021-04-13 14:10:12:378, 2021-04-13 14:12:12:218
20,300907,桨叶轴承润滑油位低, 2021-04-12 11:58:19:579, 2021-04-24 05:22:48:891
20,300908,桨叶齿轮润滑油位低, 2021-04-12 11:58:19:579, 2021-04-24 05:22:48:891
20,300691,桨叶轴承润滑出错, 2021-04-12 11:55:53:219, 2021-04-12 11:55:53:239
20,300691,桨叶轴承润滑出错, 2021-04-12 11:54:53:179, 2021-04-12 11:54:53:199
20,300691,桨叶轴承润滑出错, 2021-04-12 11:53:53:139, 2021-04-12 11:53:53:159
20,290050,主轴承润滑油油位低, 2021-04-12 11:48:29:565, 2021-04-24 05:22:48:891
20,20011,切入故障, 2021-04-12 11:47:33:885, 2021-04-12 11:48:19:545
20,90012,SCADA限功率, 2021-03-30 02:08:00:497, 2021-03-30 02:08:18:137
20,300907,桨叶轴承润滑油位低, 2021-03-25 02:06:35:625, 2021-04-12 11:48:19:545
20,300908,桨叶齿轮润滑油位低, 2021-03-25 02:06:35:625, 2021-04-12 11:48:19:545
20,300691,桨叶轴承润滑出错, 2021-03-25 02:03:02:385, 2021-03-25 02:03:02:405
20,300691,桨叶轴承润滑出错, 2021-03-25 02:02:02:345, 2021-03-25 02:02:02:365
20,290050,主轴承润滑油油位低, 2021-03-25 01:56:45:625, 2021-04-12 11:48:19:545
20,10011,机舱振动报警, 2021-03-25 01:56:03:765, 2021-03-25 01:56:35:605
20,60004,自动解缆, 2021-03-19 07:00:29:536, 2021-03-19 07:09:37:356
20,300908,桨叶齿轮润滑油位低, 2021-03-16 09:47:43:672, 2021-03-25 01:56:35:605
20,300907,桨叶轴承润滑油位低, 2021-03-16 09:47:43:672, 2021-03-25 01:56:35:605
20,300691,桨叶轴承润滑出错, 2021-03-16 09:47:25:832, 2021-03-16 09:47:25:852
20,300691,桨叶轴承润滑出错, 2021-03-16 09:46:25:792, 2021-03-16 09:46:25:812
20,300691,桨叶轴承润滑出错, 2021-03-16 09:45:25:752, 2021-03-16 09:45:25:772
20,300691,桨叶轴承润滑出错, 2021-03-16 09:44:25:712, 2021-03-16 09:44:25:732
20,300691,桨叶轴承润滑出错, 2021-03-16 09:43:25:672, 2021-03-16 09:43:25:692
20,300691,桨叶轴承润滑出错, 2021-03-16 09:42:25:632, 2021-03-16 09:42:25:652
20,300691,桨叶轴承润滑出错, 2021-03-16 09:40:33:312, 2021-03-16 09:40:33:332
20,290050,主轴承润滑油油位低, 2021-03-16 09:37:53:672, 2021-03-25 01:56:35:605
20,10011,机舱振动报警, 2021-03-16 09:04:34:380, 2021-03-16 09:37:43:652
20,90012,SCADA限功率, 2021-03-16 07:21:18:149, 2021-03-16 07:22:18:349
20,90012,SCADA限功率, 2021-03-16 07:19:24:229, 2021-03-16 07:21:06:149
20,300908,桨叶齿轮润滑油位低, 2021-03-16 07:17:42:409, 2021-03-16 09:37:43:652
20,300907,桨叶轴承润滑油位低, 2021-03-16 07:17:42:409, 2021-03-16 09:37:43:652
20,300691,桨叶轴承润滑出错, 2021-03-16 07:16:43:549, 2021-03-16 07:16:43:569
20,300691,桨叶轴承润滑出错, 2021-03-16 07:15:43:509, 2021-03-16 07:15:43:529
20,300691,桨叶轴承润滑出错, 2021-03-16 07:14:43:469, 2021-03-16 07:14:43:489
20,90012,SCADA限功率, 2021-03-16 07:14:24:189, 2021-03-16 07:19:18:229
20,300691,桨叶轴承润滑出错, 2021-03-16 07:13:43:429, 2021-03-16 07:13:43:449
20,90012,SCADA限功率, 2021-03-16 07:12:54:229, 2021-03-16 07:13:06:309
20,300691,桨叶轴承润滑出错, 2021-03-16 07:12:43:389, 2021-03-16 07:12:43:409
20,300691,桨叶轴承润滑出错, 2021-03-16 07:11:43:349, 2021-03-16 07:11:43:369
20,300691,桨叶轴承润滑出错, 2021-03-16 07:10:43:309, 2021-03-16 07:10:43:329
20,290050,主轴承润滑油油位低, 2021-03-16 07:07:52:409, 2021-03-16 09:37:43:652
20,170102,暴风, 2021-03-16 06:59:55:177, 2021-03-16 07:07:42:389
20,170102,暴风, 2021-03-16 06:37:49:977, 2021-03-16 06:42:51:377
20,170102,暴风, 2021-03-16 02:25:06:316, 2021-03-16 02:30:07:976
20,170102,暴风, 2021-03-16 02:12:23:956, 2021-03-16 02:17:25:596
20,170102,暴风, 2021-03-16 01:43:04:621, 2021-03-16 01:52:27:621
20,170102,暴风, 2021-03-16 01:20:35:947, 2021-03-16 01:25:48:687
20,170102,暴风, 2021-03-16 01:02:09:367, 2021-03-16 01:18:17:067
20,170102,暴风, 2021-03-16 00:55:20:972, 2021-03-16 01:00:25:252
20,170102,暴风, 2021-03-16 00:18:14:417, 2021-03-16 00:23:15:857
20,10011,机舱振动报警, 2021-03-16 00:18:04:477, 2021-03-16 07:07:42:389
20,60004,自动解缆, 2021-03-15 02:15:00:315, 2021-03-15 02:25:16:355
20,60004,自动解缆, 2021-03-09 23:41:26:072, 2021-03-09 23:57:12:072
20,60004,自动解缆, 2021-03-06 09:37:06:082, 2021-03-06 09:50:33:662
20,60004,自动解缆, 2021-03-05 19:14:10:933, 2021-03-05 19:26:56:188
20,300908,桨叶齿轮润滑油位低, 2021-02-27 05:14:41:001, 2021-03-16 07:07:42:389
20,300907,桨叶轴承润滑油位低, 2021-02-27 05:14:41:001, 2021-03-16 07:07:42:389
20,300691,桨叶轴承润滑出错, 2021-02-27 05:07:31:429, 2021-02-27 05:07:31:449
20,290050,主轴承润滑油油位低, 2021-02-27 05:04:50:989, 2021-03-16 07:07:42:389
20,10011,机舱振动报警, 2021-02-27 05:02:56:509, 2021-02-27 05:04:40:969
20,90012,SCADA限功率, 2021-02-24 07:03:30:172, 2021-02-24 07:11:18:252
20,300907,桨叶轴承润滑油位低, 2021-02-23 20:44:15:889, 2021-02-27 05:04:40:969
20,300908,桨叶齿轮润滑油位低, 2021-02-23 20:44:15:889, 2021-02-27 05:04:40:969
20,290050,主轴承润滑油油位低, 2021-02-23 20:34:25:889, 2021-02-27 05:04:40:969
20,170102,暴风, 2021-02-23 20:34:24:889, 2021-02-23 23:31:15:437
20,170102,暴风, 2021-02-23 20:24:43:016, 2021-02-23 20:34:15:869
20,300908,桨叶齿轮润滑油位低, 2021-02-23 07:25:42:744, 2021-02-23 20:34:15:869
